title,year,All Intl,Total Gross,USA,"Europe, Middle East, and Africa",Latin America,Asia Pacific,China
Hanover Street,1979,0,3000000,3000000,no data,no data,no data,no data
Voices,1979,0,2631244,2631244,no data,no data,no data,no data
Wanda Nevada,1979,0,2411145,2411145,no data,no data,no data,no data
Sunburn,1979,0,2410776,2410776,no data,no data,no data,no data
Rich Kids,1979,0,1856122,1856122,no data,no data,no data,no data
Walk Proud,1979,0,1675040,1675040,no data,no data,no data,no data
Last Embrace,1979,0,1537125,1537125,no data,no data,no data,no data
Goldengirl,1979,0,1247376,1247376,no data,no data,no data,no data
The Passage,1979,0,1101186,1101186,no data,no data,no data,no data
Winter Kills,1979,0,1083799,1083799,no data,no data,no data,no data
City on Fire,1979,0,784181,784181,no data,no data,no data,no data
"A Man, a Woman and a Bank",1979,0,683353,683353,no data,no data,no data,no data
Five Days from Home,1979,0,641768,641768,no data,no data,no data,no data
Fast Charlie... the Moonbeam Rider,1979,0,444334,444334,no data,no data,no data,no data
The Human Factor,1979,0,376050,376050,no data,no data,no data,no data
Real Life,1979,0,364642,364642,no data,no data,no data,no data
An Almost Perfect Affair,1979,0,85493,85493,no data,no data,no data,no data
Nest of Vipers,1979,0,27182,27182,no data,no data,no data,no data
Star Wars: Episode V - The Empire Strikes Back,1980,190685234,400083259,209398025,no data,no data,no data,no data
The Blues Brothers,1980,58000000,115229890,57229890,no data,no data,no data,no data
9 to 5,1980,0,103290500,103290500,no data,no data,no data,no data
Stir Crazy,1980,0,101300000,101300000,no data,no data,no data,no data
Airplane!,1980,0,83453539,83453539,no data,no data,no data,no data
Any Which Way You Can,1980,0,70687344,70687344,no data,no data,no data,no data
Private Benjamin,1980,0,69847348,69847348,no data,no data,no data,no data
Coal Miner's Daughter,1980,0,67182787,67182787,no data,no data,no data,no data
Smokey and the Bandit II,1980,0,66132626,66132626,no data,no data,no data,no data
The Blue Lagoon,1980,0,58853106,58853106,no data,no data,no data,no data
Ordinary People,1980,0,54766923,54766923,no data,no data,no data,no data
Popeye,1980,0,49823037,49823037,no data,no data,no data,no data
Urban Cowboy,1980,0,46918287,46918287,no data,no data,no data,no data
The Shining,1980,0,44017374,44017374,no data,no data,no data,no data
Seems Like Old Times,1980,0,43995918,43995918,no data,no data,no data,no data
Cheech and Chong's Next Movie,1980,0,41675194,41675194,no data,no data,no data,no data
Caddyshack,1980,0,39846344,39846344,no data,no data,no data,no data
Friday the 13th,1980,0,39754601,39754601,no data,no data,no data,no data
Brubaker,1980,0,37121708,37121708,no data,no data,no data,no data
Little Darlings,1980,0,34326249,34326249,no data,no data,no data,no data
Dressed to Kill,1980,0,31899000,31899000,no data,no data,no data,no data
The Jazz Singer,1980,0,27118000,27118000,no data,no data,no data,no data
Flash Gordon,1980,0,27107960,27107960,no data,no data,no data,no data
Lady and the Tramp,1980,0,26114207,26114207,no data,no data,no data,no data
The Elephant Man,1980,0,26010864,26010864,no data,no data,no data,no data
Bronco Billy,1980,0,24265659,24265659,no data,no data,no data,no data
Raging Bull,1980,0,23334953,23334953,no data,no data,no data,no data
Xanadu,1980,0,22762571,22762571,no data,no data,no data,no data
American Gigolo,1980,0,22743674,22743674,no data,no data,no data,no data
My Bodyguard,1980,0,22482952,22482952,no data,no data,no data,no data
The Fog,1980,0,21378361,21378361,no data,no data,no data,no data
Fame,1980,0,21202829,21202829,no data,no data,no data,no data
Tess,1980,0,20093330,20093330,no data,no data,no data,no data
Altered States,1980,0,19853892,19853892,no data,no data,no data,no data
Song of the South,1980,0,19800000,19800000,no data,no data,no data,no data
Cruising,1980,0,19784223,19784223,no data,no data,no data,no data
The Octagon,1980,0,18971000,18971000,no data,no data,no data,no data
The Aristocats,1980,0,18000000,18000000,no data,no data,no data,no data
Honeysuckle Rose,1980,0,17815212,17815212,no data,no data,no data,no data
Herbie Goes Bananas,1980,0,17000000,17000000,no data,no data,no data,no data
Rough Cut,1980,0,16656125,16656125,no data,no data,no data,no data
The Final Countdown,1980,0,16647800,16647800,no data,no data,no data,no data
The Hunter,1980,0,16274150,16274150,no data,no data,no data,no data
Hero at Large,1980,0,15934737,15934737,no data,no data,no data,no data
The Long Riders,1980,0,15795189,15795189,no data,no data,no data,no data
The Island,1980,0,15716828,15716828,no data,no data,no data,no data
